课程名称,课程属性,公选课领域,授课老师,课程内容与评价,考勤与平时作业,期末考核方式,课程成绩
科技与考古,通识选修课（公选课）,科学精神与生命关怀,潘春旭,老师很温柔和蔼，上课内容干货很多。只要认真完成老师布置的任务和平时签到，给分很好,平常纸质签到和慕课讨论以及点赞，没有小组展示,期末论文结课，也可以做PPT上台pre,100
马原,公共课（高数、线代、大物和思政课等）,非公选课,张萌,老师人很好，超级温柔，给分大方,定位签给1个小时时间,闭卷考试，背就完事了,91
音乐欣赏,通识选修课（公选课）,艺术体验与审美鉴赏,江柏安,上课听音乐，不能玩手机，老师蛮有意思的,每堂课小测，期末再测一个,期末测试，占成绩50%,99
物理学导论,专业课程,非公选课,很多老师，具体名字忘了,物院大一的必修课，讲课内容说实话很抽象，学不到什么东西的,不签到，但是要记课堂笔记,论文+课堂笔记，还挺麻烦的（）,91
线性代数b,公共课（高数、线代、大物和思政课等）,非公选课,王涛,老师很好，讲课很有自己的想法,没有签到，但是会以习题课叫人上黑板做课后习题的形式签到，习题课会提前通知,平时成绩加期末考试的成绩,88
流行音乐,通识选修课（公选课）,艺术体验与审美鉴赏,王渊,讲述流行音乐的风格、历史发展,平时的话无作业无考勤,要求根据课程内容写一篇论文即可,95
素质体育,体育课,非公选课,孔军,是学习基础的篮球排球技巧,偶尔点点名 考试全年级统一,考试跟年级标准一样，篮球两次机会,90
微积分,公共课（高数、线代、大物和思政课等）,非公选课,黄正华,黄老师特别特别好，讲得很好，给分也好，神中神,不签到，不提问，每节课有作业，有期中考试，作业认真写完平时分基本没问题,期末考核方式是考试（高数当然考试了）,87
高数c2,公共课（高数、线代、大物和思政课等）,非公选课,杨乔华,乔华老师人很好，会捞,有三次签到，有作业不多，考试,期末就是闭卷考试高数都这样,90
对联欣赏与写作,通识选修课（公选课）,艺术体验与审美鉴赏,王统尚,对联相关知识。。。。,有签到，有提问，要背几段笠翁对韵,结课是四副对联，两幅大，两幅小,90
大学英语一,英语课,非公选课,鲁亚侠,老师比较注重口语表达 上课和给分比较好,会点人回答问题 pre自愿进行 作业比较少（就课后题 预习和一两次口语作业）,平时成绩?口语?期末考试,88
数据挖掘,专业课程,非公选课,毛进,教数据挖掘的四大类算法，老师人比较好,不考勤，有四次实验报告，有一定难度，今年有考试，但很简单,结课实验报告或闭卷考试,93
文学与人生,通识选修课（公选课）,中华文化与世界文明,汪树东,分四个板块讲文学与人生中的各种生命体验，老师非常激情澎湃，讲的超级好,不考勤不签到，期末交两篇读书报告,开卷论文结课，两道题目,92
素质体育2,体育课,非公选课,王石龙,老师很好，教太极拳 很松，要签到到可以水,平时作业几乎没有，提问也没有，结课就是和其他老师一样,打一套太极拳。。。。。。,92
体育旅游,通识选修课（公选课）,社会科学与现代社会,张力,讲述有关体育旅游方面的事，很实用，老师人很有趣,平常考勤严一点，会有两次户外活动，有一次不限字数的观后感，,结课论文不限字数，写自己的体会,92
素质体育2,体育课,非公选课,谢天赋,篮球和排球选一个就可以了,每节课随机考勤 老师人很好,考篮球和排球还有一些基础项目,91
乡土建筑赏析,通识选修课（公选课）,艺术体验与审美鉴赏,王,讲各地建筑特色，他到各地的观察经历,无签到，无展示，论文大作业,开卷考，其他啥都不需要,90
中国哲学史,专业课程,非公选课,廖璨璨,讲授中国哲学，老师讲的非常棒，能够给人很多启发，能学到许多东西。难度也比较适中，哲学史是给初学者准备的。,平时不签到，不提问，但是有期中作业和期末考试。期中作业就是自选文本分析，期末考试大概就是中规中矩，不过也需要准备一下。,期中作业（小论文）+期末考试（闭卷）,93
高等数学b,公共课（高数、线代、大物和思政课等）,非公选课,冯慧,老师很好，平时分给的很高，就是上课口音有点听不懂,无考勤，平时作业不交也给分很高,考试结课，闭卷，全是大题，无选择填空,87
莎士比亚戏剧导读,通识必修课（导引课）,非公选课,戴丹妮,讲授一些莎士比亚戏剧，先看动画版了解剧情，然后讲解一些片段的台词,有签到，偶尔随机点现场同学起来翻译,结课方式是论文（对一个莎剧演绎视频的剧评，1500字）,93
习概,公共课（高数、线代、大物和思政课等）,非公选课,魏心凝,老师是年轻女老师，人挺好，给分不错,小组展示一次 不定期学习通签到,开卷考试，21级是这样,95
数字取证,专业课程,非公选课,企业导师,给分巨好，人人90+,签到+3个小作业（出题、翻译、报告）,开卷考试，内容从自己出的题目中找,100
出土文献与民间通论3,专业课程,非公选课,徐斌,老师讲课很有意思，讲的很深入,一次小组pre，不点名,期末开卷考，可用电子设备,90
戏曲鉴赏,通识选修课（公选课）,艺术体验与审美鉴赏,易栋,老师很有水平，内容丰富,没有考勤，没有平时作业,最后给标题写一篇论文，很容易,97
高等数学,公共课（高数、线代、大物和思政课等）,非公选课,冯慧,老师讲课一般，但是人挺有意思，只要每节课都去签到，作业按时交，平时分会给很高,有不定时签到，有助教记录和批改平时作业,以期末考试的方式结课,92
外交礼仪与谈判,通识选修课（公选课）,社会科学与现代社会,吴蔚,老师上课十分生动，讲述各种例子，很开眼界,一次小组合作展示，无作业，有签到,闭卷考试，划范围，许多选做题,92
围棋,体育课,非公选课,李喆,课上讲解围棋文化与技术,几乎没有签到，最后一堂课可能会有,考前发模拟题，最后闭卷考试,96
大学英语2,英语课,非公选课,赵玲,老师人很好，平时很水也会给高分,每个学期只有两篇作文和一次pre,大学英语全校统一考试结课,86
美国社会与文化,英语课,非公选课,史霁,老师人好，事情比较少,有小组分享和作文以及口语考试,口语考试以及统一考试,89
外交礼仪与谈判,通识选修课（公选课）,社会科学与现代社会,吴蔚,内容很丰富有趣，各个方面都有,偶尔签到，一次小组展示，涉及礼仪就行,闭卷考试，画范围几题背诵，一些灵活的题目,97
西方宗教原典选读,专业课程,非公选课,徐弢,关于《圣经》内容和结构方面的一些解析,无签到，无期中作业，每个人需完成一次pre,电子开卷考试，挺简单,93
明清史专题,专业课程,非公选课,洪均,老师分专题讲明清史的内容，专业性比较强但也容易划水,上课不签到不提问，有一次小组作业,当堂发试卷纸写论文或考试，开卷，可以用电子设备，比较容易,90
电影音乐,专业课程,非公选课,陈晖,主要讲的是一些知名电影的音乐赏析，相当于看电影，课堂挺有趣的,签到一次，小组展示，结课论文,只有一个结课论文，针对小组展示的内容,91
马克思主义基本原理,公共课（高数、线代、大物和思政课等）,非公选课,吴默闻,慎重，老师给分逐年走低,正常水准，没什么作业,考试闭卷，一次视频，考勤,88
微机原理,专业课程,非公选课,国,不错不错不错不错不错不错,作业点名，别的没有。,闭卷，，，，，，，，，,88
马克思主义基本原理,公共课（高数、线代、大物和思政课等）,非公选课,向德忠,大部分都在讲自己的经历，感觉知识点比较少,会有三次签到，一次大作业，,闭卷考试，都是主观题，要背很多,83
线性代数C,专业课程,非公选课,袁海丽,呃，老师讲得挺细致吧，但是我上课真的太困了,有两次纸质签到，一次小测验（三道题），没期中,"考试呀,kaoshiya",61
韩国语言与文化,通识选修课（公选课）,中华文化与世界文明,王佳佳,会教韩语的语法基础和一些韩国文化，老师讲课很有趣，喜欢韩娱的朋友强推,只有期中一次签到，无作业无展示无期中,期末考试结课，考核教过的字词和文化部分知识，之前没有韩语基础需要好好复习，会有困难,84
创新思维与方法,通识选修课（公选课）,科学精神与生命关怀,谢皓,讲一些关于创新的理念、人物和案例,每节课都签到，课堂互动挺多，固定一个课堂展示，结课一份期末作业,一份期末创新作业 里面有几道题,93
宏观经济学,专业课程,非公选课,黄永明,宏观经济学及相关内容,随机点名，作业很多，老师人还不错,考试。                                ,68
音乐欣赏,通识选修课（公选课）,艺术体验与审美鉴赏,陈简,有点无聊，每节课都有测试,每节课都有测试所以每节课都要去,100个选择题考试，都是平时考试的,97
高等数学A2,公共课（高数、线代、大物和思政课等）,非公选课,胡捷,什么胡老师，是胡妈妈??,无签到，有提问，没有小组展示,高数 考试结课 2h,95
中国近代史纲要,公共课（高数、线代、大物和思政课等）,非公选课,万军杰,一次线上参观博物馆加观后感，一次小组讨论，一次口述史,平常不签到，最后三次课签到,慕课，闭卷考试，平时成绩,89
管理学,专业课程,非公选课,胡吉明,讲的挺好的，比较水，并且可以得高分,平时没作业，有几次签到,闭卷考试，大多数是主观题,87
宏观经济学,专业课程,非公选课,黄永明,宏观经济学及相关内容,随机点名，作业很多，老师人还不错,考试。                                ,68
素质体育,体育课,非公选课,邓丽红,素质体育，跑步，跳远，球类,平时签到比较少，允许一次缺勤，如果多次请假会扣分,素质体育测试 长跑 跳远那些 实事求是,92
中华乐教导引,通识选修课（公选课）,艺术体验与审美鉴赏,易栋,古筝，萧，诗词等中华乐教,无考勤，无点名，老师非常好,论文800-2600,93
素质教育2,体育课,非公选课,肖娟,老师人非常好，强烈推荐,平时有考勤，基本无作业, 篮球或排球任选一个考试，加上体测的成绩，以及考勤、表现与乐跑的成绩,95
现代生活方式与寄生虫感染,通识选修课（公选课）,科学精神与生命关怀,明珍平,主要就是介绍常见的寄生虫病,不签到不提问 有份问卷调查 两次课后作业 ,不少于3000字的论文结课 查重率不高于20%但交纸质版,94
排球初高级,体育课,非公选课,黄武,有他的排球课，选就对了，人超好，一般都会给90+,偶尔签到，其他都没有,初级是垫传发球三选二，高级是移动传接球和打比赛,92
素质体育,体育课,非公选课,黄文奇,老师人很好，事很少，给分不错,人少或者下雨就不定期签到,正常要求，可以重复考，，，，,92
军理,公共课（高数、线代、大物和思政课等）,非公选课,何华,yyds荷花老师讲得很好，而且不查签到，鼓励我们吃早饭,无考勤 会有其中小论文不限字数,闭卷考试，写满就行，背背差不多就OK,93
线性代数B,公共课（高数、线代、大物和思政课等）,非公选课,王涛,好！老师讲的很好，虽然可能有点难,无考勤（好像），会有作业，要交,期末闭卷考试，考线代内容，考试比较简单,98
民间技艺的传承与创新,通识选修课（公选课）,社会科学与现代社会,黄敏,暂无老师人怎么样，给分情况怎么样啊。。。,是的是的是否有签到，结课作业是什么样的，上课是什么方式的,ppt 写论文 或者小组战士之类的。。。。。。,1.27E+18
肿瘤离我们有多远,通识选修课（公选课）,科学精神与生命关怀,很多,教学内容较水，给分差,考勤有三次不定期签到,结课方式为5000字论文结课,88
中国哲学史下,专业课程,非公选课,廖璨璨,宋明理学中部分思想家的思想以及演变过程,期中不限字数 三个问题选一作答?想象两个思想家对话,闭卷考试 考核本学期所学的内容 名词解释等,96
媒介素养,通识选修课（公选课）,社会科学与现代社会,王松茂,现代媒介传播中存在的问题,会有一次考勤，一次小组展示及书面总结，一次1000字的作业,3000字的结课论文，不查重，交纸质版,82
公共经济学,通识选修课（公选课）,社会科学与现代社会,"柳新元
",主要讲柳老师自己编的教材，有时会脱离课本发表自己的看法,无考勤，无作业 很轻松的，没有任务,闭卷考试，但可以使用手机,95
TED精彩演讲赏析,通识选修课（公选课）,社会科学与现代社会,章毓文,每节课会放老师和之前的学生制作的微课，然后教授一些演讲技巧，重点不在赏析而在自己演讲,大概签到了三次，就是以点名和写点东西当堂交上去,最后一节课开卷考试，有概念内涵、写三个英文小发言,93
中华文物品赏,通识选修课（公选课）,中华文化与世界文明,倪婉等,主要讲各类文物的源流，然后有好几个不一样的老师,点了四次名，有一次小论文,手写4000字大论文（欲哭无泪）,87
日本文化漫谈,通识选修课（公选课）,中华文化与世界文明,曾丹,超级无敌好，可以了解日本文化的方方面面，曾丹老师会请日语系的不同老师来讲述日本文化的不同方面，老师人也很好,小学期上的课，每节课有签到，然后有一个小组展示，介绍自己喜欢的日本文化,闭卷考试，介绍上课提到的文化中你喜欢的一类，需要提前背一下，因为得写1200字,92
肿瘤离我们有多远,通识选修课（公选课）,科学精神与生命关怀,宋启斌,每节课不同老师授课，结课是5000字论文，偶尔扫码签到，很棒,论文结课，偶尔提问，签到,5000字论文，有随机查重,95
素质体育,体育课,非公选课,陈文英,常规体能训练，跳远，力量练习，篮球，排球，足球。陈老师人很好，和学生很亲近！布置的训练量也不多，每次上课会让大家刷乐跑，上课内容形式也很有趣。老师有时候还会带着她的腊肠狗来上课，很可爱的狗狗！,有点名，没有提问，没有小组作业，没有论文,按照学校体育部统一规定进行考试，考察50m，跳远，上学期是太极拳，下学期是篮球上篮,95
肿瘤离我们有多远,通识选修课（公选课）,科学精神与生命关怀,很多,教学内容较水，给分差,考勤有三次不定期签到,结课方式为5000字论文结课,88
积极心理学,通识选修课（公选课）,中华文化与世界文明,喻丰老师,超好的课！！！喜欢老师！！,平时填写问卷作为平时作业,随笔作业，没有字数要求,95
大学生职业发展与就业指导,通识选修课（公选课）,社会科学与现代社会,朱炜,每节课不同老师不同主题，大部分是各个学院辅导员或副书记授课，课堂互动较多，内容不算有趣但也能听进去。,偶尔点名，每次课都记录表现优秀的学生，被记录的学生有加分,论文结课，3000字职业规划论文，比较容易。,96
演讲与口才,通识选修课（公选课）,社会科学与现代社会,陈建军,讲的是有关演讲的内容,考勤不太严，作业也不多,现场写演讲稿，开卷，可以拿手机,88
理论力学,公共课（高数、线代、大物和思政课等）,非公选课,熊铁华,"讲的一般，老师上课感觉很懒
",每次有两项作业以及签到,考试+平时作业+签到,79
信息素养与实践,通识选修课（公选课）,科学精神与生命关怀,龚芙蓉,会讲述各大常用数据库的检索，筛选，管理等方法，以及文献综述的撰写,基本每周有签到和讨论题，虽然比较多但是能学到东西，有几周不用线下上课，结课作业emm也不是太难，老师给分还行,很多方式，如破案式检索、诺奖案例分析、文献综述撰写等,88
电磁学,专业课程,非公选课,周国全,老师上课极其突出，和别的老师都不一样。课程内容重点也不一致。给分比较差,作业不多，但是难度比较大,个人单独出卷进行考试，不怎么捞的,78
宇宙新概念,通识选修课（公选课）,科学精神与生命关怀,赵江南,宇宙之类的知识，，，，，,没有签到没有点名没有提问,平时不点名不签到，开卷考试,85
大学英语,英语课,非公选课,李加莉,老师特别温柔，期末考试挺捞的,平常作业有点多，上课会点人回答问题，经常巡堂,小组展示，英语口语，平时作业，期末考试,82
大学物理D,公共课（高数、线代、大物和思政课等）,非公选课,王平,老师人非常好，会答疑到半夜，但鉴于我上课不怎么听，无法给出授课水平的评价……,平时有作业，签到也是手势签到，可代签，平时有学习通的小测,学校统一考试，闭卷考试,88
西北水资源,通识选修课（公选课）,科学精神与生命关怀,谢平,水资源保护 发展 平衡 地区内容,不签到 有一次小组展示 期末写报告,问答题 很简单 认真写给分很好,97
离散数学,专业课程,非公选课,刘纪平,老师比较严肃，但也上课可以划水,基本每堂课都有平时作业，但作业量很少，会抽空签到,期末考试成绩高于斩杀线就行,98
高等数学B下,公共课（高数、线代、大物和思政课等）,非公选课,彭彦泽,彭老师讲课很认真，但是要求比较严，作业几乎是把书本的AB组都写完，还会有考前模拟考之类的,每次几乎都有签到，上课不提问，平时作业挺多的，几乎是把书本的AB组都写完,统一考试，平时作业，到课率,85
线性代数B,公共课（高数、线代、大物和思政课等）,非公选课,杜光保,很严，给分一般，但是不签到,作业基本上每次课都有，期中有闭卷考试，考3节课,期末闭卷考试，全校统一命题,75
军事理论,公共课（高数、线代、大物和思政课等）,非公选课,何华,军事理论与国家安全等教育,一次中期论文，没有签到，好像班长有一次签到,期末考试占大部分。。。。,92
电路原理,专业课程,非公选课,文武,电路，老师讲得很好，平时分基本都是满的,平时作业都是课后习题，不点名，,闭卷考，老师会捞，不会有挂科,96
广告设计创新思维与制作,通识选修课（公选课）,艺术体验与审美鉴赏,刘艺琴,比较好，上课有趣，有作业，适合有文案、ps、绘画基础的人,会随机考勤、平时作业小组汇报两次，,参加比赛赛道设计，可以小组可以个人,93
俄罗斯历史,通识选修课（公选课）,中华文化与世界文明,牟若英,给分不是很好，请大家慎选,一次展示，一次论文，不怎么签到,写一篇3000字的论文,85
线性代数B,公共课（高数、线代、大物和思政课等）,非公选课,李译楠,老师讲的不错，认真听能跟上，逻辑也清晰 ，人很好,因为课程紧没有期中，老师也不想搞期中，作业的平时分给的很高，基本不点名，点名会提前说，不会卡绩,期末考试占60%，平时分40%,87
大学英语2,英语课,非公选课,钱妍,讲得很好，平时作业也不多,无考勤，但是英语有小组任务啥的，结课是考试,统一全校考试，还有口语考试,80
大学物理D,公共课（高数、线代、大物和思政课等）,非公选课,王平,物理知识比较简单，老师授课非常透彻易懂，也会拓展很多更深的物理知识,每节课有作业，做了平时成绩就会很高。有期中考试，线上进行比较简单,期末考试，难度较小很容易满绩,96
微生物的世界,通识选修课（公选课）,科学精神与生命关怀,唐晓峰,老师讲的很有趣，还有实验室和物种保藏所得参观，还有简单的实验,偶尔签到，论文和实验报告可选，平时有测试,签到，测试，期末作业,91
日本历史与文化,通识选修课（公选课）,中华文化与世界文明,牟伦海,主要讲日本的历史和制度还有一些文化，古代和近现代都有所涉及,平时一般也没签到，就期末开卷考试，但是分数就。。。,期末就是进行开卷考试,80
高等数学A,公共课（高数、线代、大物和思政课等）,非公选课,王文祥,老师教课很认真，不过有些口音，习惯之后就会很有收获,作业不多，按时完成就好,按照学校安排进行考试,92
中国近现代史纲要,公共课（高数、线代、大物和思政课等）,非公选课,赵天鹭,中国近现代历史，构建人民史观，老师的一点私货,平时作业比较氵，口述史和小组展示,学校统一安排闭卷考试,94
海外中国印象史,通识选修课（公选课）,中华文化与世界文明,李会玲,课程主要讲述海外国家对中国的印象发展变化史。老师教学用心负责。,每节课都有签到，有两次平时作业，内容是ppt上的题目。,开卷考试，但不允许使用电子产品。,90
离散数学,专业课程,非公选课,刘纪平,老师上课很清楚，给分很好,有一次期中，平时作业完成就行，无时间要求,学校安排的统一考试，期末占比比较大,92
"大学英语3
",英语课,非公选课,周彦渝,讲的很好 老实人非常温柔,作业较少 偶尔点名 课堂互动多,口语考试简单 期末考试,81
神奇的人体免疫,通识选修课（公选课）,科学精神与生命关怀,忘了,三个老师换着讲都讲得不错.,有签到 无提问 一次展示 一次论文或者乱七八糟写什么都行,论文展示配音橡皮泥都可以,90
马克思主义基本原理,公共课（高数、线代、大物和思政课等）,非公选课,肖光恩,老师挺有趣的，说话带着一定的信阳口音,基本无考勤，有时有智慧珞珈签到,跟其他老师一样，短视频+考试,88
韩国语言与文化,通识选修课（公选课）,中华文化与世界文明,王佳佳,韩语入门，老师超级好,可以请假，有几次点名，课堂很轻松,闭卷考试，但题不难，课堂跟着学就行啦,94
大学物理实验,公共课（高数、线代、大物和思政课等）,非公选课,黄慧明,非常nice，给分好，讲解细致，老师人也很温和,自然是进行实验，无特殊任务,以实验报告平均分结课,93
大学英语4,公共课（高数、线代、大物和思政课等）,非公选课,周放红,老师上课会讲一些东西，然后回让学生自己准备口语(就是在课本上找答案)，每节课都有,没有签到，就是每节课会有口语环节,口语考＋期末考试＋平时口语,86
中国古代器物文化,专业课程,非公选课,萧圣中,讲古代器物，后面几周理论上安排逛博物馆，不过萧老师当时身体抱恙就推迟到期末考后了,无签到无提问无pre无大作业,3000字器物鉴赏论文，没有查重,90
旅行生活与寄生虫病,通识选修课（公选课）,科学精神与生命关怀,蔡国斌,"在日常生活与出外旅行时可能遇到的各类寄生虫
评价：无脑冲好吧，能选上就选",上课不点名；有两次线上作业，选择题；要给五个同学做寄生虫病的调查问卷；结课方式为小论文，不查重。,2000字以上小论文，不查重,93
高等数学A,公共课（高数、线代、大物和思政课等）,非公选课,湛少锋,老师前期讲得比较慢，后期为了赶进度会比较快,两学期只签到过一次，不提问，作业不多,闭卷考试          ,90
体育旅游,通识选修课（公选课）,社会科学与现代社会,张力,介绍了青旅和健身的一些知识,每次微信群接龙签到，线下对人数,看一个电影，然后写影评,4
大学英语2,英语课,非公选课,李榕,很好，人美心善，事少,很轻松，平时作业不多,期末考试，平时成绩各占一半,90
科技与考古,通识选修课（公选课）,科学精神与生命关怀,潘春旭,主要是看看纪录片什么的,平时需要签到，会使用珞珈在线,期末会写小论文来结课,97
流行舞蹈,体育课,非公选课,肖娟,老师很可爱，但是给分不低不高,小组展示为主，平时成绩和期末都是小组合作舞蹈,小组展示翻跳舞蹈或者课上教的舞蹈，进行创意汇编,90
物联网导论,专业课程,非公选课,刘威威,老师给分巨好 课也不难 几乎没什么内容,无签到 平时不去都可以最后一节课去一下 听一下论文格式,平平无奇的简单的3000字论文,99
大学物理C,公共课（高数、线代、大物和思政课等）,非公选课,王倜,主要是大雾上的内容，加上下册的相对论。老师巨捞，总评比期末高不少（虽然我个人考的不太行）,课快结束的时候有个学习通签到，一般可以让同学提醒。回答问题全看个人，没什么影响。,闭卷考试，正常公共课形式,82
大学英语2,英语课,非公选课,李芳,超级好超级好，事少分高,没有口语考试，会用pre代替,闭卷考试，占比60%，平时分自己打分,80
色彩视觉与感知,通识选修课（公选课）,艺术体验与审美鉴赏,张霞,主要讲有关色彩的知识,有5次左右的签到，不太影响最终成绩。作业有两次小作业和一次大作业，大作业的内容是根据某节课的知识做一份展示用的ppt(不用真的展示)，在学习通上互评。,期末考试是提前写好一篇论文到现场抄写在答题纸上,91
太极文化与健康,通识选修课（公选课）,中华文化与世界文明,蔺志华,老师讲课很好，给分不错，平时上课是冥想喝茶还有分享养生知识,平时有一个小组pre，平时偶尔有小组讨论,写课程感想，难度算不大，压力较小,95
黄旭涵,专业课程,非公选课,龚韵,数值计算方法，老师挺负责的,平时每章都有几道作业题，最后有编程实验,考试，会考平时课上讲到的知识点和PPT里面的细节，最后一题要手写代码，有点难,96
数字媒体技术基础,通识选修课（公选课）,科学精神与生命关怀,刘全香,课总体比较无聊，但给分还可以,平时有签到，线上回答问题，课堂测试，平时作业用PS根据课上所学处理图片,结课论文3000字，老师最后会布置题目,92
朝鲜半岛问题研究,通识选修课（公选课）,中华文化与世界文明,王佳佳,非常非常好，有几周下雨老师还让我们在宿舍上网课,只点过一次名，没有作业,开卷考试，可以带手机,96
音乐欣赏,通识选修课（公选课）,艺术体验与审美鉴赏,陈简,有点无聊，每节课都有测试,每节课都有测试所以每节课都要去,100个选择题考试，都是平时考试的,97
高等数学d,公共课（高数、线代、大物和思政课等）,非公选课,程哲驰,老师很平易近人很温柔很友好,不点名不提问，每节课留作业，下次课交上来,闭卷考试，会简单划范围,87
羽毛球,体育课,非公选课,林军,每节课打羽毛球，简单快乐,尽量来一下，但偶尔请假也可以,小组赛，但大家都是满绩,93
公共经济学,专业课程,非公选课,薛畅,微观经济学课程的数学证明,大概5-7次作业，平时作业写了平时分就满分,闭卷考试，老师自主出题，基本上是八道大题，20分起评,90
民法总论,专业课程,非公选课,杨巍,教得特别好，很生动有趣,不点名不签到。pre可以加平时分，有一个1w字的论文,参加年级统一考试，给分不错,95
政治经济学,专业课程,非公选课,赵伟,课程内容与高中政治类似，老师非常负责，讲得也很清楚,一两次位置签到，一两次作业,学院统一安排的闭卷考试,88
外交礼仪与谈判,通识选修课（公选课）,社会科学与现代社会,吴蔚,老师很好，去过很多国家,平常有小组展示的作业,平时分数加期末闭卷考,92
大众传播学概论,通识选修课（公选课）,社会科学与现代社会,彭彪,课程内容主要是传播学知识，老师风趣幽默,无签到，无提问，无平时作业。期中有个1000多字小论文，期末开卷考试(老师提前给你范围),期中的论文和期末的开卷考试,93
文学与人生,通识选修课（公选课）,中华文化与世界文明,王树东,讲文学里的人生道理，通过分析书中的文字，解释死亡啊爱情啊等等,全部没有噢！！没有签到、没有提问、啥都没有，老师说人到就行,开卷考试，可以是电子设备或者是书,92
博弈论,通识选修课（公选课）,社会科学与现代社会,陈植元,讲授博弈论的基本知识，内容按章节是教材《博弈与社会》的子集。老师说话细声细语很有意思，课程内容需要动脑但考试并不难为学生（指基础但不是说不用学习），复习花了一天抱佛脚最后成绩还可以hhh,平时没签到，唯一一次签到也只是加分不扣分，上课有简单互动但是不是点人（sorry没咋去过,闭卷考试，题型大概是名词解释+简答,93
中国近现代史纲要,公共课（高数、线代、大物和思政课等）,非公选课,刘新华,老师人挺好的，可能有的地方会有一点点怪，但是会很热心的回答学生的问题，上课也希望能和学生互动，生病了也认真上课，给分也好。（我甚至有一次没签到）,会有三次签到，口述历史和课堂展示各一次,大家统一卷面考试（闭卷）,90
棒垒球12,体育课,非公选课,李冰,棒球棒球棒球棒球，不适合女生,无签到，有期末考试期末考试,1是自己打，2是团队打,92
细胞生物学,通识必修课（导引课）,非公选课,常洪,老师很专业，但是教学有点怪，给分也比较保守,有课后作业，上课不怎么提问,期末统一考试，分数高于55有平时分,77
概率论与数理统计,公共课（高数、线代、大物和思政课等）,非公选课,童欣,老师讲得特别好，上课听得很懂，特别特别好，老师人也特别好，人美心善特温柔,偶尔考勤，每次课下了只布置四道题，作业挺少的,平时40%+期末60%,94
音乐欣赏,通识选修课（公选课）,艺术体验与审美鉴赏,陈简,有点无聊，每节课都有测试,每节课都有测试所以每节课都要去,100个选择题考试，都是平时考试的,97
大学英语,英语课,非公选课,李榕,老师很好，会捞平时成绩,签到、提问、小组pre、作文，,口语老师、期末考试，,90
概率论与数理统计,公共课（高数、线代、大物和思政课等）,非公选课,童欣,老师讲得特别好，上课听得很懂，特别特别好，老师人也特别好，人美心善特温柔,偶尔考勤，每次课下了只布置四道题，作业挺少的,平时40%+期末60%,94
高数B下,公共课（高数、线代、大物和思政课等）,非公选课,刘恒心,老师可以，不签到，想来就来,书上的作业，有答案可以直接抄,考试ksksksksk,90
韩国语言与文化,通识选修课（公选课）,中华文化与世界文明,王佳佳,韩国语入门（元辅音发音 拼读方法 韩语基础词汇和语法）+了解韩国文化,几乎不考勤，无随机提问；没有作业（我是第三学期上的，不知道平时有无）,闭卷考试（都是选择题）,96
大物b实验,公共课（高数、线代、大物和思政课等）,非公选课,吴昊,实验很水任务很少 速冲,9个实验报告都有签到,可能有考试也可能没考试,94
发展经济学与中国经济发展,通识选修课（公选课）,社会科学与现代社会,李酣,讲述与发展经济学相关的内容,平时可能有随机签到，但签到不是定位签到，平时可能会有1-2次小测，但都是开卷的，拿两个电子设备过去就行，都按部就班完成的话给分还可以,开卷考试，可以拿两个电子设备一个用于答题一个用于查阅资料,91
大学物理D,公共课（高数、线代、大物和思政课等）,非公选课,王平,老师讲的非常好，还经常会拓展一些考试范围之外的东西，回答问题也非常耐心。,每节课有签到，一般来说每节课的作业在5-10道题不等,闭卷考试，会提前给出考试范围,90
植物人类学,专业课程,非公选课,张箭飞,内容就是讲究几种重要的植物和人类的关系,不签到，无小组作业，结课作业方式多样、开放,植物日志/视频/家乡植物或者其他任何方式都可以,90
西方建筑与艺术,通识选修课（公选课）,艺术体验与审美鉴赏,童乔慧,主要讲武大的早起建筑和古罗马等的建筑，老师人很好，最后一节课还给大家买了小蛋糕吃（小蛋糕很好吃哈哈哈）,上课有时会有签到，课上会有随堂作业，一般是画画图之类的简单作业,小组pre，选择一个国外建筑查阅资料，进行展示,95
大学英语,英语课,非公选课,陈洁,上课不点名，积极回答问题可以不用考口语,平时作业不多，平时成绩给的挺高,期末考试，口语考试，没了,86
句法学,专业课程,非公选课,田源,句法分析、句法树etc 内容挺有意思的 逻辑性很强,偶尔有小测试但是好像不占分，比较简单,期末考试（题很简单，班里同学有100分的）,97
计算机组成与设计课程设计,专业课程,非公选课,冯晶,别选，会变得不幸，老师水平一般,老师垃，这是专必，偏硬件的,展示并解答(就是实验验收之类),60
莎士比亚与西方社会,通识选修课（公选课）,艺术体验与审美鉴赏,戴丹妮,莎士比亚戏剧的解读，两个老师轮流来上，但是很无语，四大悲剧都能说错...,有一次小组pre，有签到，有提问,期末演出+论文，说实话有点烦...,90
素质体育,体育课,非公选课,李凯,这个老师的体育课跟其他老师根本不一样，但是适合不想运动想满绩的,平时回答问题会多一点，都是有加分的,回答问题的分数可以用来弥补考试分数，只要回答得多甚至可以不考试,92
宇宙新概念,通识选修课（公选课）,社会科学与现代社会,赵江南,挺好的1111111111111,没有考勤，没有签到，没有小组展示，很水，想听课也可以学到东西,开卷考试，买老师出的书，上面基本有答案，可以带电子设备,90
艾滋病防治,通识选修课（公选课）,科学精神与生命关怀,侯炜,老师人很好，讲课很认真,平时要交三次作业，结课方式是考试,结课方式是闭卷考试，特殊情况下是交论文,94
