课程名称,授课老师,课程内容,考勤与平时作业,考核方式,课程成绩
人文,鲁家亮,讲授老师选择的六本经典，并讲解了如何写论文,我觉得老师挺好的，很温和，讲的也不错,小班表现，论文，小测,90
人文社科经典导引,袁劲；李佳奇,讲述经典书籍（论语，庄子，历史等等）,李佳奇老师经常上课点名，不要翘课,大班不用签到，有小班教学，小班分组报告很多，期末是论文,87
中国精神导引,左亚文，朱国伟,讲一堆中国精神，没学到啥，纯纯水课,避雷，不知道评分标准是啥，给分低的离谱,平时不点名，中间会有一次课当场写读后感当作签到，期末3k字论文和考试,83
中国精神导引,于娟，史姗姗,讲一些古典书籍里的中国精神,不太推荐，开卷考试没啥方向资料，而且考试题目有的在资料上找不到,两次课堂小组讨论，没有平时作业，期末是论文?开卷考试,
人文社科经典导引,鲁小俊,教材上的篇目，分中学西学,分低屁事多，但是总的来说避无可避，老师卡绩,不考勤，quiz和pre两周一次，论文结课,86
自然科学导引,郝中华,经典书籍里的部分篇章,老师讲得挺好的，平时的课前小测要认真做,有签到、课前小测，平时作业为小组讨论，期末考核为论文,88
人文社科导引,黄楼,就是按照教材内容讲一些拓展知识,还行，有点无聊╮(╯_╰)╭,小组展示，节课论文和课前quiz,88
自然科学导引,徐晓华,就是自科书上的内容。,讲课挺好，但是给分很迷，卡绩,平时签到，没有作业，期末一篇3000字论文,84
自然科学导引,贾俊基,课本内容，老师还会扩展一些名人故事,老师讲得挺好，有时会拖堂,每节课点名 小班讨论 期末论文,88
人文社科经典导引,文建东,老师讲课+小组展示交替,老师要求严格，喜欢为难学生,课堂表现+平时小测+期末论文,
中国精神导引,肖航,类似于“和”、“道”、“爱国”这种和中国文化相关的,希望大家都能选到给分好事又少的老师,常态化点名、一次小组合作汇报、一篇期中论文、本来有考试但后来因为疫情改成论文结课了,90
中国精神导引,左亚文,每节课讲一点中国精神,普遍给分不太好，而且卡绩有点严重,不点名，中间有一次当堂写作用来签到，期末论文?考试,83
人文导引,黄楼,人文经典著作及作者的相关介绍，,稍微不尽人意，但还可以说收获一些东西。,"平时有小组展示，课前quiz,期末考核以论文形式提交。",
人文导引,荣光启,人文社科 各种名著欣赏理解,还好 没什么想说的 就感觉各种准备其实挺无聊的,考勤 多小班讨论作业,
人文社科经典导引,黄楼,人文社科经典的内容介绍,老师的声音比较小，有一点模糊,一节大课，一节小课交替上，小课课前有quiz，以论文结，对查重有严格要求,91
人文社科经典导引,曹龙虎,人文社科书籍，进行表演展示,小班老师要选好才行，然后就是事多,考勤，quiz，知网查重论文,87
人文经典导引,张晶,人文中学与西学文学作品,老师给分好 人也年轻,小组作业 10分钟小测 结课论文,90
自然科学导引,怀念,十本书的大题内容与知识,老师准备的内容很充分，quiz有点难,大课位置签到 小课不考勤,92
自然科学导引,黄劲松,十本自科相关书籍，大课比较水,大班课黄老师讲的很激情，但是可能内容缘故我没怎么听。听说卡绩很多,大课小课都考勤，小课会有pre、辩论、舞台剧的形式，期末论文,88
自然科学经典导引,赵苹苹,十本自然科学书，学习科学探究的思想方法,老师原来是印包系的，上课朗读PPT，内容较为枯燥，主要靠自己体会,平时课上偶尔用学习通签到，平时作业是小班课小组讨论、展示，期末论文结课。,91
自然科学,徐晓霞,书籍介绍，名人名事，科学探索,还好，小测先去找题库,课前小测，论文，小组作业,86
自然科学导引,石瑛,讨论科学名著，探索科学理论,能够了解到很多科学理论，老师也会根据相关主题提出新颖的见解。,有quiz、小组pre和期末论文,90
自然科学经典导引,怀念/杜润蕾,通过阅读科学发展史中具有里程碑意义的著作，了解严密科学体系的构建范式，体会前人对自然世界的理性反思。,pre有点多 但老师还是很好很细心,四次平时作业（自选题目，300字以上论述）；3000字论文结课,94
人文社科导引,王怀义,通识导引课程，全校统一教材,老师很认真，可以摸鱼，卡绩,定期pre，期末论文,87
自然科学导引,王燕舞、李立,为我们介绍介绍讲解国外著作,小课老师有点严厉，被卡绩点了,会考勤 会有小课pre 期末写论文,89
中国精神导引,连凡，任艳,学不到啥，类似于思政课吧,快跑 不过23级貌似必须学这个,本来是平时分（签到），论文和开卷考试。后来疫情就没考了,
自然科学经典导引,怀念,学校统一通识导引课程,整体不错 给分不错 可以考虑,论文结课考核 小班研讨 大班上课,92
自然科学导引,石瑛 陈述亮,一节大课一节小班课，小班课pre每个人都需要参与，准备有点麻烦,不好，都很无聊，大课老师态度不咋样，小班老师也不怎么管,大课签到，小班课测试加pre，结课一篇论文,88
人文经典导引,张晶,一些人文经典的内容，讲的还可以，但是也中规中矩,减少小组作业减少小组作业拜托了,平时签到，有quiz，有很多小组作业，期末论文,85
中国精神导引,连凡,有关中国人的精神，主要是PPT上的,老师上课有点无聊，但是最后给分很好,有一次考勤，几乎无作业，有一次小组展示和期末论文,96
人文社科导引,大班鲁小俊、曹龙虎，小班孟晨,摘取课本中一部分经典讲解,导引课主要看小班老师给分，孟晨既是助教也是我们小班老师，既漂亮人又好的小姐姐~,课上表现、小班研讨、quiz、期末论文,95
人文社科经典导引,苏德超,哲学文学知识，跨度比较大,老师讲的很好人也可以，有时候会随堂提问，这时候会比较咬文嚼字一点。但是平时quiz都能查到，期末也还行。,不考勤。平时quiz，期末论文,86
人文社科经典导引,李雪松,真的逼事多，给分也低，完全看表演,  选。。。。。。。。。。。。,小测，展示主要是演讲，论文,
中国精神导引,连凡,中国精神，包括爱国等等,老师会卡绩，有好多卡在85+的。。,最后签到一次?小组作业，期末是论文,
中国精神导引,杨红兵,中国精神导引，讲课内容丰富，但比较无聊  ,老师比较友好，平易近人。课程比较无聊,会签到，通过学习通。会有小组展示。疫情原因，用结课论文代替开卷考试,
中国精神导引,左亚文,中国精神概括性研究过程,积极上课回答问题的话给分可以,4000字论文结课，谈和中国精神相关的话题,
中国精神导引,左亚文,中国精神概论，比较深入浅出,老师挺好的，课不是特别有意思,没有考勤，一次作业，结课论文,90
中国精神导引,任薇,中国精神内容分析之类的,无聊好无聊好无聊好无聊,考勤多，一次pre一次论文（本来还有一次开卷考试）,95
人文精神导引,文建东,中外人文经典，包括《论语》《坛经》《斐多篇》《正义论》等,文建东讲得一般，且对小组展示要求比较严格,大课与分班小组展示交替进行，以论文形式结课,
人文社科经典导引,牛田禾,主要讲了四本中国经典作品和四本外国经典作品,老师教的浅显易懂，比较会引导,小班pre一般PPT展示，三分钟主题演讲,85
人文社科经典导引,高文强,主要讲授人文知识，没学到有用的知识,助教打的分和实际分数不一样，存在压分情况,偶尔考勤，quiz和结课论文,3.7
自然科学经典导引,郝中华,主要是介绍自然科学方面的经典著作,大水课，水就完事了，期末论文写好点就行,考勤的话，课间点手机上学习通签到就行，老师考勤没有太多心机，不像有的老师花式签到，大班课因此只要记得签到不去没有问题，小班课主要是小组讨论和做一个小测试，期末主要评价依据是论文和小测试考勤三方面,
中国精神导引,杨建兵,主要为如儒家思想等中国古典文化,老师讲得很好很温柔，对待小组展示听得特别认真会提出相关改进措施,偶尔考勤，两次小组展示，期末论文,90
自然科学导引,张德玲,自导一般就是8节大课8节小课,老师非常喜欢卡绩点，同学全被卡,考勤学习通签到，有quiz，期末考论文,84
自然科学导引,大课是林毅，小班是魏振威,自科书上的内容，小班课堂上要求制作PPT和讨论讲话，认真学习的话可以体验学术讨论的氛围和制作PPT的技巧,小班老师很好，不会为难大家，大课老师较严厉，不太喜欢同学摸鱼,需要每次签到，每节大课后都有quiz，无作业，期末只要写论文(3000),
自然科学经典导引,刘永明,自科相关知识 涉及比较广,还可以 讲的内容不错就是任务有点多,平时位置签到 quiz pre 期末论文,
自然科学经典导引,桑建平,自然科学基础知识与科学思维,老师很认真负责，课程讲授生动具体,有考勤 平时发言和小测 期末论文,90
自然科学导引,金振齐,自然科学经典著作的介绍,真的事多麻烦 还卡绩,两周一次小组讨论 课前还有十道小测 关于上节课的内容 如果是大班老师带小班课就非常严苛麻烦 期末写一篇论文,86
自然科学导引,郝中华,自然科学相关经典书籍,比较形式化，学不到什么东西,签到，期末论文，小班quiz等,
人文社科导引,李雪松,不好玩，大课还行，小课社恐不友好,不想说话，就是跑不了罢了/:break,事真的好多，要课前测，两周一pre打分很迷惑,87
人文社科导引,李雪松,不好玩，大课还行，小课社恐不友好,不想说话，就是跑不了罢了/:break,事真的好多，要课前测，两周一pre打分很迷惑,87
人文社科,张昭炜,讲人文社科一些经典著作,总体感觉好，但是小组pre和quiz要认真,quiz+小组展示+课堂表现+期末论文,97
自然科学导引,黄劲松,自科课内容差不多老师讲的不错,老师人好 小班也是老师讲的多 pre水水也可以拿平时分 quiz很简单,考勤加quiz 论文结课,91
自科,刘永明,自科课本以及ppt的内容,quiz不难老师上课好好,quiz＋pre＋论文,89
人文社科经典导引,张晶,学习一些经典，比如孔子孟子庄子等等,给分还不错 会捞，但是两周一次pre比较事多,不点名，但是两周一次pre，并且经常小测,
自然科学经典导引,怀念,自然科学经典导引授课内容,给分不错 有点拖堂 可以考虑,论文结课 查重 平时有作业和quiz,92
人文社科经典导引,张晶,学习一些经典，比如孔子孟子庄子等等,给分还不错 会捞，但是两周一次pre比较事多,不点名，但是两周一次pre，并且经常小测,
自然科学导引,刘昱,教自然科学中的各方面知识,老师讲的不错，给分也还可以。,期末论文，平常每节小班课会有小测验。,
自然科学导引,刘昱,教自然科学中的各方面知识,老师讲的不错，给分也还可以。,期末论文，平常每节小班课会有小测验。,
人文社科经典导引,张晶,学习一些经典，比如孔子孟子庄子等等,给分还不错 会捞，但是两周一次pre比较事多,不点名，但是两周一次pre，并且经常小测,
高级英语,靳奇,BBC纪录片、杨澜访谈录,对学生综合能力要求很高，它逼我自学PS\PR,平时作业（PPT\剪视频、做海报等creative work)、两次老师自己组织的考试及期末统考、还有个人pre,
概率论与数理统计,王文祥,按书和ppt讲，老师特别特别认真负责,老师马上就要退休了，特别负责敬业的一个老教授,每周作业，但是不是很多,
大学生心理健康,聂晗颖,按心理课本讲，水课之一,课比较水，老师还是比较捞的,我们这一届因为疫情改为论文结课，以后应该是开卷考,90
毛概,李雅丽,按照课本讲，会画重点,老师给分很透明，人特别好！,3次点名，一次微视频，期末闭卷,
大学生心理健康,章星波,包括但不限于教材吧，老师挺用心的,感觉挺多人满绩的，但是被卡的也不少,偶尔签到点人，平时有个小作业，还有小组讨论啥的，我们因为封寝改成论文结课了，，,88
大学生心理健康,曲晓艳,北大毕业的，讲得挺有深度,对平时作业比较严格，超过规定时间扣大分,每节课签到，平时作业只有一两次,91
大学英语（快班）,靳奇,不太按课本来只有最后划重点划课本,给分不错但是事儿比较多,考勤考试和小组作业，小组合作做过电影场景表演,89
高级英语,徐鸿,常规高级英语内容 注重口语,不喜欢写作业喜欢口语的同学可以试一试 老师人很好,平时基本没有作业，课上多发言也许会加平时分,91
高级英语1,唐军俊,除了英语知识，小唐老师会专门在课堂上教我们presentation时的姿态和注意事项,平时要放开自己，积极准备下节课的内容，在课堂上锻炼口语。,平时分和期末分各占一半,
大学计算机基础,周雅洁,大学计算机 基础教材内容、补充PPT,期末努力背背，平常上课讲的细，但是没有与学生互动的环节，就感觉她自己一个人不停地说，让人想睡觉,小测（开卷）、期末、上机作业,
大学生心理健康,聂玉秀,大学生的心理健康知识,一般般吧上课不怎么用听,考勤平时课上写小论文期末论文结课,90
大学生心理健康,章吉,大学生如何让自己成为一个心理健康的人,没啥意义的课程。给发结果反而让很多同学的心理不健康了,有考勤，几乎每一次，期末是论文,91
思想道德与法治,于娟,大学生思想道德、国家法律政策等得教学,老师很好，会结合一些实例来进行讲解，比较有趣；课堂上基本做自己的事情老师也不会怎么管,每节课会通过学习通进行考勤；无平时作业，有一次微视频的小组制作，几次上台演讲的机会，期末统一考试,
大学生心理健康,尉兆梁,大学生心理健康，顾名思义,尉兆梁很好！写这份评价就是为了吹他！可能因为比较年轻，讲课风格幽默，对课堂纪律也没有什么大要求，会带着理教材,用学习通签到，平时作业是两份心理系问卷，我们这学期是期末线上写小作文，一般来说是开卷考试,86
大学生心理健康,尉兆梁,大学生心理健康的知识,尉兆梁老师很幽默，而且非常懂学生哈哈哈哈,本来需要开卷考试，但是我们因为疫情就写论文,84
大学生心理健康,马鑫,大学生心理健康知识等,给分不好，上课讲得还行,每节课签到，平时两次作业，期末考试,
大学生心理健康,尉兆梁,大学生心理健康知识等内容,超爱这个老师！老师超级好！,今年特殊情况所以论文结课,94
大物实验,黄慧明,大学物理实验 理论以及操作,冲冲冲冲冲冲冲冲冲冲,老师给分好讲得细致！,
大学英语,夏静宇,大学英语，写作，交流，听力,挺好的，无脑可冲，互动可能多,签到，考试，偶有测验,88
大学英语1,李应清,大学英语、四六级英语考研等,挺好的，老师给分十分宽松,是 平时成绩 期末成绩,90
大学英语3,文芸,大学英语3，中华文化，有书法，神话故事，中国名胜古迹什么的,老师人超级好，而且口语考试就只是让同学读一段话，提前给好,不点名，但是上课会点人回答问题,90
大学英语,黄春妮,大学英语语法与课文之类的,讲得很好，上课轻松，心情愉悦,考试，平时作业不多，有期末期中考试,
大学生心理健康,聂晗颖,分享心理学知识，看看短片，做小游戏,不错，推荐，基本上获得的成绩都不错,每节课考勤，平时学习通上布置一些小心理问答（计入期末，不忘记做就可以），期末有考试但本届改论文,91
高数C1,羿旭明,复杂函数、微分和积分,非常好！羿老师你值得拥有！,不记考勤、每次课有作业但老师很负责任答疑随时在线、没有期中考试、有期末考试,
概率论与数理统计B,袁海丽,概率论与数理统计的基本知识。,老师很好，给分也好，讲得也好！,期末闭卷考试，有平时作业不多。,100
高等数学B2,王孝礼,高等数学，各种积分方法,老师人很好，期中考试自己带试卷回去写,没有，主要是电信院的考勤。平时作业都是抄答案的，期末捞上90,90
高数,湛少峰,高等数学A导数 微积分 和微分方程,认为讲课内容不容易理解,不考勤 平时作业很少 会有期中和期末考试,92
高等数学B,杨丽华,高等数学B相关内容111111,老师人好 管的松 平时作业不多,不考勤 作业不多 期末考试,
高等数学c,杨乔华,高等数学c考试范围内的内容,老师人超好，会捞人，如果考试九十分以上则不管考勤啥的最后分就是考试成绩,会签几次到，作业一般就几道题,94
高等数学,康晓松,高等数学的相关知识及方法,老师挺幽默，讲得不错的,平时作业+期末考试，无考勤,89
高等数学B1,陈国贤,高等数学公共基础教学，讲授极限、函数、导数、积分和微分方程,没有签到和平时测验，老师讲解思路连贯，作业量不多。挺好的,平时布置课后题作为作业，只有一次期末考试。,
高等数学A1,胡捷,高等数学上册，极限与微分方程,老师非常认真负责，讲课容易理解,只在开学第一第二节课点过名，平时作业基本每周都有，期末考试,
高等数学B1,王孝礼,高等数学上下册，微积分等,这么课好好学习，天天向上,几乎不考勤，平时作业书上课后习题，期末考试,
高数,李大美,高等数学书上的内容 也有一些自我思考的题目和练习,老师讲的很好也很和蔼 有详细的板书也有补充思考题目,学委点名 平时按单双号每周交一次作业,
高等数学B,湛少锋,高数，老师主要用PPT，也会板书,能冲就冲！！！！！！,平时作业量很少，期末闭卷考,95
高数,葛冀川,高数，有适当拓展，条理清晰,老师手写板书，上课讲的很详细很有趣,平时分＋期末考作为成绩,
高等数学C1,汪春晖,高数C上册课本知识。。。,高数还是要靠自己，一些应试技巧老师不可能像高中老师那样总结全面,3次签到，第一次和最后一次课再加上中间随机签到1次，期中考试占10%-15%，剩余是期末考试，期末考试成绩和综合其他的总成绩取一个最高的录入,
高等数学c1,羿旭明,高数c1数学的第一学期函数导数微积分啥的,老师特别好讲题很细致平常也会发经典题目不允许错过,平时作业和期末考试期中考试,90
高等数学,周进,高数的一些知识，内容和课本一样,"老师讲的可以，易懂，x，
",考勤，期末考试统一考卷,85
高等数学,周进,高数里面的各种知识，讲的很细,老师讲的挺好要求也严,平时会点名签到，网课次次签到,
高数,李大美,高数认真学没毛病讲的好,高数认真学没毛病讲的好,平时作业无考勤给分不知道,
高等数学B,杨丽华,高数上下册的全部内容,讲解很详细，但是太快了,平时作业量适中，有期末考,72
大学生心理健康,马鑫,各种方面的心理知识，主要是书上的内容,感觉挺好，老师人很不错,无平时作业，基本每次都点名，不过可以偶尔缺勤一两次，考试开卷（后面因为疫情改为论文）,4
管理学,龚玉敏,管理学概论，企业管理方法和案例分析,老师讲课生动有趣，引人入胜,考勤，平时作业是社会实践，期末卷面考试,
线性代数,黄正华,行列式，矩阵等等教材上的内容,老师讲课很好，人也很好，相当推荐,平时留作业，期中考试和期末考试,
线性代数D,汪春晖,和教材一致，基本还是考自学,老师讲课能力不好，但人挺好，事少作业也不多（只是太难了），上课可以直接水，还是考自学,签到两次，课后作业，期末考试,
神经科学,尹君,很多神经科学方面的知识,没有什么要说的话。。。,考试有考勤无平时作业,
英语,龚雄民,互动比较多线上多统计迟到早退,可以的不知道最终给分如何,都末做双人对话视频目前没考试,
线性代数a,黄正华,基本知识，主要是课本上的内容,教的内容挺好的，内容比较扎实,不考勤，平时作业比较正常,
大学生心理健康,章星波,基础心理知识，一些心理思维吧,人很好，完成基本任务就可以,平时有点名，有小组讨论，以论文结课,91
计算机基础,周雅洁,计算机基础的相关理论与实践知识,老师人很好 讲的也很好 很详细,平时作业+期末闭卷笔试,
计算机基础,刘珺,计算机基础上册，c语言学到了指针,老师照讲ppt，但是人还不错,平时作业30加期末闭卷,80
高数B1,胡振忠,极限，函数导数，定积分，不定积分……,还行，就是老师的声音让人有点想睡觉,不考勤（除非人太少），每次课有一次作业，期末考试,
高等数学B1,杜光保,极限，微积分，微分方程,个人感觉挺好的，老师也会及时在群里补充相应资料,偶尔考勤，平时作业量中等偏上，有期末考试,95
思想道德与法治,金筱萍,讲得很好，不怎么提问,讲得很好，老师很有趣,无平时作业，有期末考试,
大英1/2,邱燕,讲讲书本上的知识 每次讲新课的时候会请同学读课文 但大多数是自愿 读了课文有相应加分 几乎不抽人回答问题 作业是书上的习题  课堂有几次小测试 蛮简单的老师不错,挺好的 老师不强制性要求什么 或者抽人回答问题,要考勤 平时作业就是书本上的 we learn 和清华社英语在线上的 期末闭卷 占百分之五十 其他的就是平时作业的成绩 完成情况,
高等数学A,湛少锋,讲解高数知识，训练思维……,老师课的很好，如果不预习的话，跟不上，所以一定要按老师的要求学。,期末考试占比最大，70％，平时成绩包含作业，单元测和期中考试，很细碎，总占比小。单元测自己改，只收了三次成绩，隔一两个星期会交一次作业。,
大学英语,陈艳（大）,讲解课文中的难点，同学课后提问，还有单词表短语之类的。也会放一些小短片当听力，偶尔当堂测验,据说这个老师事算少的,4次pre，3篇作文，上课提问，英文回答问题。老师很温和,
高等数学A,周进,讲课以ppt为主，老师自己做的ppt，内容很棒，基本听课就能学懂,老师人超好！！但是不太适合想水课的同学，可以课上后排睡觉但不能不来,随机点名签到＋每次课后几道习题，很少＋期末（没有期中）,
高等数学B1,邓昌松,讲课中间会穿插一些科学思维,个人认为讲课思路比较清晰，但是不同人有不同看法吧,闭卷考试，平时成绩大于等于考试成绩,
大学生心理健康,曲晓艳,讲了很贴近生活的心理学知识，很有意思，治好了我的精神内耗,老师很有魅力，很温柔，知性大方。,本身是平时成绩60%（含次次考勤，小组作业，一次平常作业）期末开卷40%。本学期由于疫情，将考试改为论文,94
毛概,朱凌,讲授毛泽东思想概论，需要拍摄视频,老师人特别好，也特别宽容，给发也十分不错,会有两三次点名，没有平时作业，期末考试闭卷,92
大学英语,黄磊,讲授英语知识，确实能提高一些英语能力。,老师的要求有些多，作业量稍大，但确实对英语有一些帮助。,进行考勤，平时会有听写等，期末考试。,
高等数学B,冯慧,讲述高等数学内容，，，,老师讲课有口音，速度很快，很靠自学,有平时作业，不过考勤不严格,
高等数学A,周小方,讲微积分的基本知识，还包括级数等,讲课认真且给分好，狠狠捞了我一把。,有考勤但次数少，平时作业就是布置书本一些题，一般会有期中考试，期末考核为考试。,
大学生心理健康,章星波,讲心理常识 个人觉得比较水,别来 老师不行而且喜欢让同学互相举报,老师喜欢花式签到 有小组作业和互相评分（这个很恶心）,77
大学生心理健康,刘迪,讲心理知识，一些有趣的小活动还有理论知识,每堂课都要签到，平时几乎每节课都有小作业，考前会划重点 老师上课还是很认真的,本来是开卷的，但因为疫情改成论文结课了。给两三天时间写2000-3000字,93
大学生心理健康,朱晴菲,教授基本的各类心理知识,老师很温柔！给分也挺好,基本上每节课都有学习通扫码签到，平时有三次小作业，写有关于心理的文章，大概1000字左右，期末原定开卷考试，因为疫情变成论文,90
大学生心理健康,刘迪,结合现实讲一些较实用的心理知识，认真听有用 单独似乎人在划水,作为外院的辅导员面对的多是外院的同学们，所以讲课氛围很好。其中的一部分还是挺有用的。,每节课三小节，第二小节下课会签到，课上互动较多，作业做过3-4个，期末由线下开卷变为期末论文。虽然平时任务多但是杂，如果去上课并且在学习通上互动跟上能拿满分。,95
概率论与数理统计,童欣,紧扣课本，主要题型把握好,无敌好，老师很耐心，讲课好,不点名，平时作业较少且与期末相似，期末统一闭卷,
高等数学,黄雪英,就是高数课本上的知识,个人觉得老师讲得挺好的，老师很友善。,课后习题，有期中和期末，人少的时候会签到,
高等数学B,杜光保,就是高数书上要学的内容,遇见杜光保直接冲就完了，保保是真的很好,无考勤，我们这个班因为某些原因直接线上交作业（别的不清楚），考试,
道德与法治,程凌,就是各种PPT讲三观啊法治民法典什么的,一般般吧，毕竟这种思修都很水,开卷线上考试，有一个视频剪辑,
大学英语2,陈梵,就是课本内容，挺详细的,老师很温柔，课上也有一些简单的互动，冲,第一次课有一个签到，后面就没有了，平时作业一般是背书、作文，挺少的,
线性代数A,黄正华,就是线性代数。。。。。。,课讲的还是比较好的，不像有些老师直接水PPT,作业比较严，不打考勤，期末考试占70%,0
线性代数D,张晓平,就是线性代数的知识，没有什么特别的,老师巨能捞人，真的认真学给分还可以,没有考勤，有作业，期末考试,91
大学生心理与健康,刘迪,就是有关于大学生心理的方面吧，挺有意思的，但是没有很多干货,感觉好像没有什么必要上,几乎每节课都考勤   有时候课堂会留一些小作业，例如在学习通回答一个问题  有小组合作搞守护天使和兴趣小组最后汇报   期末考核是写论文,88
线性代数B,王茂发,就是正常的线代内容，和其他老师无差，会有习题课,老师人挺好的，就是作业很多,不考勤，期末考试，平时作业很多很多，我每次写3h,90
军理,唐蓉,军理课本上的知识还有补充内容,人很好，可以放心大胆选，但有一点不好选上,期中开卷，期末闭卷，偶尔小测试，小组展示,
大英英语1,黄春妮,课本，视听说小练习（但没有很多知识）,一般般，需要花一些时间应付,平时作业：视听说，we learn，小组ppt，presentation；平时课上有xiaolianxi,0
高等数学A1,周进,课本的知识，然后每章都会有习题课,老师课讲的很好，很有意思,全校统一期末，没有期中考,0
军事理论,唐蓉,课本加老师自己总结的,老师很和蔼很有气质，在课上也能学到知识,平常不点名；有期中开卷考试，不难；上课回答问题有加分,
大学生心理健康,尉兆梁,课本内容，上课就是念ppt，老师很好,老师真的很温柔，很好，但确实给分不太行,十次签到，平时作业填两个问卷，期末考试由于疫情原因，本来的开卷考试改为期末写一篇论文,88
《基础英语》,马王超,课程以新概念为教材，可以学到很多实用俚语与单词用法、语法知识,课堂比较轻松，老师讲得也很好，也能学到东西。,平时偶尔有考勤，期末成绩占大部分,92
大学英语1,陈芃,课上讲综合教程，每次上课只用带一本书,老师有点口语，练习自觉做，有点过于松,有期中考试，每两三周写一次作文，没有小测，期末笔试，有口语考试,84
高等数学B1,王涛,老师不是讲ppt类型，会很细的分析题目,老师真的真的讲的很透彻,平时管的不是很严，偶尔点名,91
大学英语1,谢晓梅,老师会讲很多关于写作方面的东西，比较有用,课堂内容比较充实，老师人很好，建议选,平时分和期末分各一半,
马克思主义基本原理,张萌,老师讲的很细，课上有提问但是不会回答也没关系,老师人特别可爱，考完试出来还会给我们抱抱呜呜,点名前一节课都会提醒，最后是闭卷考,92
微积分（上）,葛冀川,老师讲的很细致，纯板书，非常容易理解。,葛爷y?y?d?s，直接选这门课就行,不考勤，平时作业不多但需要认真写。,
中国近代史纲要,宋俭,老师讲得挺认真 内容其实很丰富,不推荐 公选课不适合太认真的老师,每课签到 口述史报告卷两万字 小组作业也很复杂 期末考试统一阅卷给分奇低,84
中国近现代史纲要,吴向伟,老师人很善良，感觉讲的很认真,老师人好，放心大胆的冲。,没有签到和点名，但是会在最后一两节课的时候，抽三四个人回答问题,88
思想道德修养,张荣华,老师上课不讲课本，比较发散,挺好的，老师人很好，风趣幽默,闭卷考试，拍摄视频，pre,
大学英语三,夏朝阳,老师主要围绕课本来讲,老师真的好好，上课很轻松,有考勤，平时上课会有不同形式的问答，但是老师在这方面不会很严苛,
马原,龚玉敏,马克思主义原理和一些时政，讲的好,谢谢老师捞我，老师教的真好,不点名，一次小组展示，考试海底捞，大善人,90
毛概,李雅丽,毛泽东思想，邓小平理论，三个代表思想等等,老师非常好，十分体谅学生,偶尔学习通考勤，慕课，拍微视频,
毛概,赵天鹭,毛泽东思想，中共党史和近代史,很好，选他就对了，选他就对了,作业少，老师非常nice，给分也不错,88
大学英语,喻士贵,每周都要背一篇文章，作文手写手改,背文章烦 但是不用做welearn,正常考试，口语考试不难,88
高等数学B1,冯慧,求极限、求导、中值定理、积分、反常积分、微分方程,老师有口音，但习惯后影响不大，上课速度较快，并且内容略难，老师不查考勤，平时分视期末分数打分。老师人蛮有趣的。,不考勤、平时作业较多、期末考试,
大学英语,黄磊,上课本，上的很快，需要预习单元单词和课文,人比较好，但事情确实有些多,presentation，小组讨论，视听说，作文，听写balabala一堆,
大学英语2,陈聪,上课主要讲课本内容，会讲一些语法和翻译，还有一些听力练习,老师人还挺好的，认真但是给分还挺厚道，平时表现好会捞很多,平时会考勤，上课会点名回答问题，平时有几次作文和pre，pre可作为口语考试的成绩，视听说也占一定比例,88
大学英语,刘波,书本课文以及放相关视频,老师很温柔很舒服，没有什么特别的要求,期末考试 口语考试对话,87
军事理论与训练,戴新武,书上内容，但是老师自己讲自己的,写过一次论文但是不查重,考勤过一次，以纸条写名字形式,
数字人文,陈萍,数字人文相关方法与技术,老师人很好，给分也不错,期末线上考试+项目结课,92
大学生心理健康,章,水，巨水，上课可以啥都不听,还行⑧，基本上都在90左右，,签到，论文或开卷考试,90
思想道德与法治,高倩,思想道德与法治书本内容,随机点名有点吓人，老师人还是很好的，就是小组作业麻烦,每节课签到，无平时作业，期末考试,
思想政治,刘老师,思想道德政治的具体知识,老师管的很松，还可以,线上查找ppt开卷考试,80
思修,卢丽珠,思修课emmmm死去的高中政治开始攻击我,快跑，比其他班多一个不知道有什么意义的研究报告,考勤签到，平时作业有一个研究报告一个微视频，期末考试这次是开卷,
马原,何鹏,思政课，不用解释了，凑字数,虽然yygq，但是很会捞人，可以放心冲,考勤，大约3到4次，没到会yygq,92
线性代数D,缪爽,同济课本线代D上的东西,老师自身科研水平很高，但教学水平是拉中之拉,没考勤过 平时作业是课后习题,
高等数学,黄正华,微积分（物院常微分方程单独开orz）,老师特别好，方法很好，同学都很满意,期中考试和期末考试加上平时,
高等数学,周进,武大版高数教材上内容,老师讲课很耐心，会板书，很推荐,不定期点名，课后留作业，无期中，期末考试,
高等数学D,孙林林,武汉大学出版社高数D课本内容,老师在很认真的上课，但是思维跳的很快，有点跟不上,偶尔点名，随堂作业，期末考试,80
习概,金伟,习近平新时代中国特色社会主义思想,无，思修课，懂得都懂,有期末考试，考勤一般无,90
线性代数A,张晓平,线代A，有自己的PPT,还行，他会管你上课是不是抬头，课堂上会让你做题，他下来一个个看,期中考试，平时作业，期末考试,
线性代数B,胡新启,线性代数B规定的知识，矩阵，行列式等,老师认真负责，讲得也很好,基本不点名，有一定量作业 ，期末统一考试,
线性代数,周明春,线性代数的相关知识，老师讲的挺好的,老师讲的挺好的，比较清晰,老师经常点名，作业量正常，平时分应该不用担心,
线代,陈玉蓉,线性代数的相关知识点,挺好的，教的认真，人也温柔,无考勤，平时作业正常交，期末正常考,
线性代数B,胡新启,线性代数里的基础知识以及习题课,胡老师讲课质量很高，人特别风趣幽默，很有意思,不考勤，有作业一周十几道题，期末线下考试,
